id,emotion,intensity,statement,repetition,actor,path
20,04,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav
21,04,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav
22,04,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav
23,04,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav
24,04,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav
25,04,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav
26,04,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav
27,04,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav
28,05,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav
29,05,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav
30,05,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav
31,05,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav
32,05,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav
33,05,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav
34,05,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav
35,05,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav
36,06,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav
37,06,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav
38,06,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav
39,06,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav
40,06,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav
41,06,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav
42,06,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav
43,06,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav
44,07,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav
45,07,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav
46,07,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav
47,07,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav
48,07,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav
49,07,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav
50,07,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav
51,07,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav
52,08,01,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav
53,08,01,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav
54,08,01,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav
55,08,01,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav
56,08,02,01,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav
57,08,02,01,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav
58,08,02,02,01,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav
59,08,02,02,02,01,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav
60,01,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav
61,01,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav
62,01,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav
63,01,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav
64,02,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav
65,02,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-02-02.wav
66,02,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-01-02.wav
67,02,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-02-02.wav
68,02,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-01-02.wav
69,02,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-02-02.wav
70,02,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-01-02.wav
71,02,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-02-02.wav
72,03,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-01-02.wav
73,03,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-02-02.wav
74,03,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-01-02.wav
75,03,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-02-02.wav
76,03,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-01-02.wav
77,03,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-02-02.wav
78,03,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-01-02.wav
79,03,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-02-02.wav
80,04,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-01-02.wav
81,04,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-02-02.wav
82,04,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-01-02.wav
83,04,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-02-02.wav
84,04,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-01-02.wav
85,04,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-02-02.wav
86,04,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-01-02.wav
87,04,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-02-02.wav
88,05,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-01-02.wav
89,05,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-02-02.wav
90,05,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-01-02.wav
91,05,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-02-02.wav
92,05,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-01-02.wav
93,05,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-02-02.wav
94,05,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-01-02.wav
95,05,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-02-02.wav
96,06,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-01-02.wav
97,06,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-02-02.wav
98,06,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-01-02.wav
99,06,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-02-02.wav
100,06,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-01-02.wav
101,06,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-02-02.wav
102,06,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-01-02.wav
103,06,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-02-02.wav
104,07,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-01-02.wav
105,07,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-02-02.wav
106,07,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-01-02.wav
107,07,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-02-02.wav
108,07,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-01-02.wav
109,07,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-02-02.wav
110,07,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-01-02.wav
111,07,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-02-02.wav
112,08,01,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-01-02.wav
113,08,01,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-02-02.wav
114,08,01,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-01-02.wav
115,08,01,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-02-02.wav
116,08,02,01,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-01-02.wav
117,08,02,01,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-02-02.wav
118,08,02,02,01,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-01-02.wav
119,08,02,02,02,02,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-02-02.wav
120,01,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-01-03.wav
121,01,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-02-03.wav
122,01,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-01-03.wav
123,01,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-02-03.wav
124,02,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-01-03.wav
125,02,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-02-03.wav
126,02,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-01-03.wav
127,02,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-02-03.wav
128,02,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-01-03.wav
129,02,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-02-03.wav
130,02,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-01-03.wav
131,02,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-02-03.wav
132,03,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-01-03.wav
133,03,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-02-03.wav
134,03,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-01-03.wav
135,03,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-02-03.wav
136,03,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-01-03.wav
137,03,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-02-03.wav
138,03,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-01-03.wav
139,03,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-02-03.wav
140,04,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-01-03.wav
141,04,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-02-03.wav
142,04,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-01-03.wav
143,04,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-02-03.wav
144,04,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-01-03.wav
145,04,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-02-03.wav
146,04,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-01-03.wav
147,04,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-02-03.wav
148,05,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-01-03.wav
149,05,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-02-03.wav
150,05,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-01-03.wav
151,05,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-02-03.wav
152,05,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-01-03.wav
153,05,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-02-03.wav
154,05,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-01-03.wav
155,05,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-02-03.wav
156,06,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-01-03.wav
157,06,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-02-03.wav
158,06,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-01-03.wav
159,06,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-02-03.wav
160,06,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-01-03.wav
161,06,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-02-03.wav
162,06,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-01-03.wav
163,06,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-02-03.wav
164,07,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-01-03.wav
165,07,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-02-03.wav
166,07,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-01-03.wav
167,07,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-02-03.wav
168,07,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-01-01-03.wav
169,07,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-01-02-03.wav
170,07,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-02-01-03.wav
171,07,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-07-02-02-02-03.wav
172,08,01,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-01-01-03.wav
173,08,01,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-01-02-03.wav
174,08,01,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-02-01-03.wav
175,08,01,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-01-02-02-03.wav
176,08,02,01,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-01-01-03.wav
177,08,02,01,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-01-02-03.wav
178,08,02,02,01,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-02-01-03.wav
179,08,02,02,02,03,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_03\03-01-08-02-02-02-03.wav
180,01,01,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-01-01-04.wav
181,01,01,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-01-02-04.wav
182,01,01,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-02-01-04.wav
183,01,01,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-01-01-02-02-04.wav
184,02,01,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-01-01-04.wav
185,02,01,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-01-02-04.wav
186,02,01,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-01-04.wav
187,02,01,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-02-04.wav
188,02,02,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-01-04.wav
189,02,02,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-02-04.wav
190,02,02,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-01-04.wav
191,02,02,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-02-04.wav
192,03,01,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-01-04.wav
193,03,01,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-02-04.wav
194,03,01,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-01-04.wav
195,03,01,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-02-04.wav
196,03,02,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-01-04.wav
197,03,02,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-02-04.wav
198,03,02,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-01-04.wav
199,03,02,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-02-04.wav
200,04,01,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-01-04.wav
201,04,01,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-02-04.wav
202,04,01,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-01-04.wav
203,04,01,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-02-04.wav
204,04,02,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-01-04.wav
205,04,02,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-02-04.wav
206,04,02,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-01-04.wav
207,04,02,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-02-04.wav
208,05,01,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-01-01-04.wav
209,05,01,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-01-02-04.wav
210,05,01,02,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-02-01-04.wav
211,05,01,02,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-02-02-04.wav
212,05,02,01,01,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-01-01-04.wav
213,05,02,01,02,04,E:/RAVDESS_dataset/Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-01-02-04.wav
